thickness,Mass,logT,logg,logR,logtau,logL
thick,0.2,3.82262821383909,7.02495848,-1.64293038901573,8.73414493505887,30.5423280056859
thick,0.2,3.81853415966612,7.02694988,-1.64392602005682,8.74786140782971,30.523960310689
thick,0.2,3.81449028653517,7.02889333,-1.64489775721808,8.76121939095287,30.5058414486722
thick,0.2,3.81050031309094,7.03079551,-1.64584902517832,8.77423060193374,30.4879792716689
thick,0.2,3.8065775242861,7.03265431,-1.6467783004924,8.78687048199098,30.4704294560284
thick,0.2,3.8027262170326,7.03447866,-1.64769042982009,8.79914803850777,30.4531998104147
thick,0.2,3.79896352163788,7.03626574,-1.64858418900386,8.81102663110507,30.4363619313425
thick,0.2,3.79529442306535,7.03802188,-1.64946224547059,8.82251308867441,30.41992949187
thick,0.2,3.79173108774146,7.0397501,-1.65032617441102,8.8335899174843,30.4039478104219
thick,0.2,3.78828456120049,7.04145258,-1.65117756544244,8.84423964678015,30.388459293538
thick,0.2,3.78495995054621,7.04313458,-1.65201858247309,8.85446248111628,30.3734787921062
thick,0.2,3.7817656324952,7.04480129,-1.65285196870623,8.86424917948837,30.3590348084251
thick,0.2,3.77870914849352,7.04646074,-1.65368161405021,8.87359417348113,30.3451495649995
thick,0.2,3.77579758023295,7.04811575,-1.65450918449444,8.88248896191702,30.3318482265095
thick,0.2,3.7728514721734,7.04988875,-1.65539564425842,8.8915026123657,30.3182906536774
thick,0.2,3.76857427672491,7.0526866,-1.65679458444115,8.9046817414661,30.2983840470754
thick,0.2,3.76244985009453,7.05711789,-1.65901007606924,8.92372960753171,30.2694550344263
thick,0.2,3.75596091364492,7.06205157,-1.66147707695651,8.94385149969021,30.2385656903812
thick,0.2,3.74970161699036,7.06711851,-1.66401058216178,8.96324584855595,30.2084615119648
thick,0.2,3.74365621642963,7.07247573,-1.66668904024238,8.98212237119195,30.1789228728258
thick,0.2,3.73782854560815,7.07775873,-1.66933047394018,9.00031388145594,30.1503289942987
thick,0.2,3.73200952076734,7.08282498,-1.67186371916354,9.01837465559839,30.1219867069934
thick,0.2,3.7261930325061,7.08779055,-1.67434634973404,9.03676219692166,30.0937553332899
thick,0.2,3.72064520141172,7.09273163,-1.67681715173229,9.05551593810527,30.0666229333945
thick,0.2,3.71540236555491,7.09739426,-1.67914819168676,9.07446462200948,30.0409886033629
thick,0.2,3.7102882301838,7.10171445,-1.68130836250342,9.09393238126651,30.0162119971065
thick,0.2,3.70524862198553,7.10583973,-1.68337091655435,9.11422288116151,29.9919283555807
thick,0.2,3.70047273564575,7.10978408,-1.68534317840445,9.13506551348746,29.9688804495762
thick,0.2,3.69592576938652,7.11355053,-1.68722660288863,9.15632073838995,29.946926143945
thick,0.2,3.6914247056188,7.11709341,-1.68899802752043,9.17774652646762,29.9253790357742
thick,0.2,3.68682176989378,7.12036463,-1.69063338502637,9.19900108782482,29.9036960561466
thick,0.2,3.682144489489,7.12337956,-1.6921409386673,9.2197777940171,29.8819720122192
thick,0.2,3.67751125140952,7.12617594,-1.69353905998153,9.23986007043901,29.8606426845453
thick,0.2,3.67289854978404,7.12875245,-1.69482729087193,9.25910914796302,29.8396153532272
thick,0.2,3.66826601249527,7.13111203,-1.69600711786347,9.27748177200191,29.818725638648
thick,0.2,3.6635025836943,7.13323993,-1.69707111909604,9.294944348171,29.7975440298123
thick,0.2,3.65851152081787,7.13513995,-1.69802123684694,9.31158222786241,29.7756797548559
thick,0.2,3.65321398072312,7.13681902,-1.69886077337867,9.32749482175116,29.7528105229016
thick,0.2,3.64759686615337,7.13830173,-1.69960221073207,9.34281277838448,29.72885929871
thick,0.2,3.64170047955276,7.13962579,-1.70026413926834,9.35769077350263,29.7039497165143
thick,0.2,3.63561744269003,7.14083221,-1.70086719670153,9.37225509606088,29.6784112034257
thick,0.2,3.62945566653643,7.14194927,-1.70142588907161,9.38654373035438,29.6526469838382
thick,0.2,3.62325949619831,7.14299142,-1.70194695789761,9.40054835017051,29.6268201875605
thick,0.2,3.61704256214315,7.14395984,-1.70243121064188,9.4142412791819,29.6009839978098
thick,0.2,3.61073171998375,7.14485327,-1.70287789344855,9.42766394515881,29.5748472060181
thick,0.2,3.60426445727902,7.145672,-1.70328720499136,9.44087855449612,29.5481593715664
thick,0.2,3.59760045333567,7.14642208,-1.70366219426806,9.45399280753952,29.5207533272425
thick,0.2,3.5906960799044,7.14711074,-1.70400656118693,9.46712960024389,29.4924471930901
thick,0.2,3.58355547463256,7.14774391,-1.70432307658209,9.48036645321996,29.4632515207069
thick,0.2,3.57614626555099,7.14832991,-1.70461610627184,9.49381064138772,29.4330287418799
thick,0.2,3.56848621113175,7.14887778,-1.70489003227579,9.50752314483342,29.401840644061
thick,0.2,3.56059894609567,7.1493968,-1.70514956728777,9.52151518056874,29.3697726593134
thick,0.2,3.552518535119,7.14989658,-1.70539943710974,9.535786126068,29.3369511891034
thick,0.2,3.54426313523992,7.1503824,-1.70564247759496,9.55029367581921,29.3034438154777
thick,0.2,3.53583662384339,7.15085293,-1.70587772579523,9.56504102863209,29.2692672415046
thick,0.2,3.52722470975432,7.15129785,-1.70610009222854,9.5799905229194,29.2343745199058
thick,0.2,3.51837962999371,7.15171024,-1.70630638257151,9.59517655606024,29.1985820409812
thick,0.2,3.50925901727598,7.15208591,-1.70649403318704,9.61065792774488,29.161723678512
thick,0.2,3.49983899039929,7.15243716,-1.70666969173917,9.62648716079295,29.12369226157
thick,0.2,3.49012371882125,7.15277415,-1.70683811112382,9.64268655712064,29.0844944155394
thick,0.2,3.47859946320933,7.15314997,-1.70702630965156,9.6620250499713,29.0380213527121
thick,0.2,3.47072690784734,7.15338596,-1.70714429321737,9.67322786229305,29.0062952860262
thick,0.2,3.46335435380749,7.15360232,-1.70725244647215,9.68414894536694,28.9765887065531
thick,0.2,3.45315681057406,7.15390349,-1.7074029515475,9.70520022270851,28.9354973404198
thick,0.2,3.44510396294846,7.15412405,-1.70751307920992,9.72527809642291,28.9030653943706
thick,0.2,3.43813328653389,7.15431674,-1.70760954342768,9.74446862167599,28.8749900332556
thick,0.2,3.43144527519202,7.15449142,-1.7076967935488,9.76284692333718,28.8480632457559
thick,0.2,3.42483100408612,7.15465536,-1.70777896479858,9.7804789721169,28.8214422537184
thick,0.2,3.41814108667643,7.15480881,-1.70785573571065,9.79742301397325,28.7945291040201
thick,0.2,3.4112728388858,7.15496256,-1.70793252019602,9.81373073096999,28.7669024165744
thick,0.2,3.40414174831751,7.15511435,-1.70800836218355,9.82944819194368,28.7382262416636
thick,0.2,3.39671090273117,7.15526345,-1.70808294243051,9.84461663705826,28.7083537535272
thick,0.2,3.38896943739772,7.15541139,-1.70815689788536,9.8592731299045,28.6772399283259
thick,0.2,3.37729114887082,7.15562824,-1.7082653036369,9.88037021422841,28.6303099790933
thick,0.2,3.3653844344961,7.15584204,-1.70837214165832,9.90056549310375,28.58246927261
thick,0.2,3.35338213761366,7.15604226,-1.7084723062394,9.91968656771329,28.5342598256531
thick,0.2,3.34128064429508,7.15622959,-1.70856611185688,9.93782479865564,28.4856666394737
thick,0.2,3.32917290334354,7.1564053,-1.70865387355012,9.95506110639464,28.437059897802
thick,0.2,3.31723621906948,7.15657087,-1.70873654532865,9.97157673468823,28.3891476486156
thick,0.2,3.30543776825406,7.15672807,-1.70881508213341,9.98767672003795,28.3417966483677
thick,0.2,3.29268809020654,7.15686758,-1.70888501099673,10.0035182618642,28.290658433596
thick,0.2,3.28057288474799,7.15698085,-1.70894153707402,10.018386311929,28.2420842841508
thick,0.2,3.2690854207766,7.15709078,-1.70899647341877,10.033068936756,28.1960243904247
thick,0.2,3.25743602206435,7.15720502,-1.70905365292514,10.0480279000962,28.1493127376852
thick,0.2,3.24589167108405,7.15731219,-1.70910732545652,10.0629672261647,28.1030281380481
thick,0.2,3.23430823531567,7.15741311,-1.70915780924774,10.0779116140359,28.0565934953752
thick,0.2,3.22286278033512,7.1575148,-1.70920861848155,10.0927837846876,28.0107098830029
thick,0.2,3.21111543973694,7.15762463,-1.70926358862346,10.1076684511015,27.9636107690506
thick,0.2,3.1995851824033,7.15772785,-1.70931504953833,10.1222663518304,27.9173864429796
thick,0.2,3.18803502694705,7.15781761,-1.70936012280209,10.1367849140533,27.8710960589801
thick,0.2,3.17649994048411,7.15789969,-1.70940104442613,10.1511623078177,27.8248736477461
thick,0.2,3.16499994818303,7.15797911,-1.70944069092676,10.1653829338901,27.7787943260755
thick,0.25,4.44432465070424,6.88569117,-1.5248416719034,4.69614288934882,33.2652910404985
thick,0.25,4.33691560577928,6.95016734,-1.55707986967993,5.54406804435028,32.7711787137289
thick,0.25,4.294680163798,6.97305764,-1.56852504013385,5.84509804001426,32.5793466823852
thick,0.25,4.27117734121821,6.98563984,-1.57481619747532,6.02118929906994,32.4727530860809
thick,0.25,4.25547331504309,6.99408595,-1.57903924846526,6.14612803567824,32.4014910093751
thick,0.25,4.24384902711935,7.00038854,-1.58219052861898,6.24303804868629,32.34869127161
thick,0.25,4.23119526621443,7.00735556,-1.58567395882206,6.35698140099313,32.2911092175171
thick,0.25,4.21785351892048,7.01482279,-1.5894076583013,6.48393487867704,32.230274913263
thick,0.25,4.20463525498329,7.02235223,-1.59317226768677,6.6140848953488,32.1698724366021
thick,0.25,4.19164740865653,7.02990912,-1.59695079290454,6.74560288802916,32.1103640879016
thick,0.25,4.1790209296058,7.03746043,-1.60072638415433,6.8769912006723,32.0523067895641
thick,0.25,4.16681207760195,7.04499928,-1.60449591262575,7.0068522428142,31.9959326502304
thick,0.25,4.1551483634823,7.0524701,-1.60823132273944,7.13286970728302,31.9418069405273
thick,0.25,4.14413971764997,7.05980542,-1.61189900276845,7.2525022997152,31.8904370600125
thick,0.25,4.13373959865049,7.06694577,-1.6154691357208,7.36345252130546,31.8416962622365
thick,0.25,4.12395118748573,7.07378748,-1.61888998084992,7.46374043677998,31.7957009121164
thick,0.25,4.11479183255927,7.08027237,-1.62213238677276,7.55323303974302,31.7525785783285
thick,0.25,4.10607748976683,7.08643197,-1.62521214595153,7.63323235741449,31.7115615934664
thick,0.25,4.09776987382471,7.09225439,-1.6281234841542,7.70470298954668,31.6725087647935
thick,0.25,4.08982682545167,7.09776162,-1.63087699049673,7.76899493431972,31.6352293285488
thick,0.25,4.08216656252204,7.1029888,-1.63349046113994,7.82735059540439,31.5993610595011
thick,0.25,4.07469751614324,7.10795728,-1.63597474894056,7.88061725823152,31.5645164613149
thick,0.25,4.06746061204753,7.11264934,-1.63832075005511,7.92924220855157,31.5308767464408
thick,0.25,4.06049320168281,7.1170537,-1.64052313548739,7.97359308484663,31.4986027425567
thick,0.25,4.05390946019849,7.12112145,-1.64255689551889,8.01350922850499,31.4682000293808
thick,0.25,4.04854732661943,7.12438953,-1.64419089876382,8.04469494982306,31.4434834435404
thick,0.25,4.0445960739174,7.12681472,-1.64540347966802,8.06701689151033,31.4252532402119
thick,0.25,4.04101960813254,7.12902277,-1.64650769029935,8.08679355253046,31.4087392864602
thick,0.25,4.03791379770202,7.13092459,-1.64745861398323,8.10361867893066,31.3944142037983
thick,0.25,4.03482695962275,7.13280922,-1.64840078925806,8.12004752376317,31.380182287781
thick,0.25,4.03184786910311,7.13462392,-1.64930826250096,8.13553430729182,31.3664511621022
thick,0.25,4.02906706155084,7.13632582,-1.65015905313559,8.14985622636182,31.3536260275755
thick,0.25,4.02639927851318,7.13796043,-1.65097629883201,8.16342258896458,31.3413203465108
thick,0.25,4.02379517785019,7.1395553,-1.65177380585565,8.17648570879037,31.3293089771997
thick,0.25,4.02122511654733,7.14112959,-1.65256099915773,8.18920668042392,31.3174544785054
thick,0.25,4.01868145418606,7.14268708,-1.653339786886,8.20163332719992,31.305722296284
thick,0.25,4.01613407495808,7.14423482,-1.65411349915547,8.2138475361887,31.2939851495241
thick,0.25,4.01357066390731,7.14578204,-1.65488718227989,8.22602063157219,31.2821841994537
thick,0.25,4.0109459893983,7.14735846,-1.65567552404822,8.23834322959571,31.2701091060345
thick,0.25,4.00828847067228,7.14895273,-1.6564726581961,8.25066806487085,31.2578848757267
thick,0.25,4.00564484770635,7.15053916,-1.65726587068488,8.2628178306147,31.2457238415082
thick,0.25,4.00298736739333,7.15212212,-1.65805712577262,8.27484455398686,31.2335108632302
thick,0.25,4.00028670039326,7.15371316,-1.65885267096533,8.28689682851355,31.2211173032505
thick,0.25,3.99749358597715,7.15533605,-1.65966421695869,8.29913342229232,31.2083220165595
thick,0.25,3.99463088418895,7.15697202,-1.66048213842713,8.31151609919953,31.1952352548061
thick,0.25,3.99165117924768,7.15865246,-1.66132249604922,8.32424005291343,31.181635819775
thick,0.25,3.98858224942003,7.16036343,-1.66217796109635,8.33715704694455,31.1676492806447
thick,0.25,3.98545967590695,7.16208854,-1.66304057405977,8.35013167387254,31.1534337370872
thick,0.25,3.98229648019636,7.163822,-1.66390720713141,8.36310067798849,31.1390474664586
thick,0.25,3.97910863612289,7.16555455,-1.66477355356623,8.37600122666116,31.1245635613179
thick,0.25,3.9758933629587,7.16728508,-1.66563874097895,8.38883837863362,31.1099718321532
thick,0.25,3.97264265591673,7.169014,-1.66650304862241,8.40164140401086,31.0952401583339
thick,0.25,3.96934215990666,7.1707432,-1.66736791890207,8.41445890554832,31.0803089463247
thick,0.25,3.96597197258622,7.17248114,-1.66823684137331,8.42736307402487,31.0650902509019
thick,0.25,3.96253146726806,7.17422021,-1.6691063402972,8.44034681041756,31.0495893407752
thick,0.25,3.95900071468132,7.17596912,-1.6699807952278,8.45349553885859,31.0337172072221
thick,0.25,3.95536792354461,7.17772884,-1.67086052520195,8.46681129181972,31.0174265318336
thick,0.25,3.95164379241593,7.17949528,-1.67174379978367,8.48027419628674,31.000763686441
thick,0.25,3.94782874036039,7.18126342,-1.67262799316792,8.49386287845888,30.9837351402397
thick,0.25,3.94391496461129,7.183039,-1.67351575653499,8.50759967029574,30.966304480508
thick,0.25,3.93991797151141,7.18481447,-1.67440327360537,8.52142498954507,30.9485410344217
thick,0.25,3.93584805325144,7.18658699,-1.67528965245282,8.53531108631794,30.9304888324062
thick,0.25,3.93171069987829,7.18835417,-1.67617340154894,8.54923077763642,30.9121722453615
thick,0.25,3.92751483689085,7.19011344,-1.67705301728356,8.56315429233547,30.8936295122885
thick,0.25,3.9232697231277,7.19186093,-1.67792668665588,8.57705613798441,30.8749015873899
thick,0.25,3.91897617295608,7.19360175,-1.67879705176479,8.59093864336113,30.8559865731787
thick,0.25,3.91465625466067,7.19532597,-1.67965931230194,8.60473189511004,30.8369826548797
thick,0.25,3.91030917625489,7.19703592,-1.68051401472367,8.61844464101223,30.8178843960017
thick,0.25,3.90594309473093,7.19872866,-1.68136051150439,8.63205794239896,30.7987273479194
thick,0.25,3.90156314427233,7.20040419,-1.6821981506896,8.64556324478736,30.7795319915736
thick,0.25,3.89717528905602,7.20205924,-1.68302567424752,8.65894655619601,30.7603255103226
thick,0.25,3.89278441575678,7.20369155,-1.68384181540525,8.67219819609015,30.7411297653499
thick,0.25,3.8883934253577,7.20529919,-1.68464590291937,8.68531341159154,30.7219581019544
thick,0.25,3.88400288911022,7.20688509,-1.68543877454655,8.69829997937468,30.702810119678
thick,0.25,3.87962912607953,7.20844178,-1.68621703197808,8.71111585564069,30.6837583559583
thick,0.25,3.8752660399653,7.20997235,-1.68698241570817,8.7237870542927,30.6647754394976
thick,0.25,3.87091599464984,7.21147743,-1.68773485510979,8.73631457625119,30.645870186958
thick,0.25,3.86658333839523,7.21295543,-1.68847397578932,8.74869283350205,30.6270615390041
thick,0.25,3.86226605533997,7.21441052,-1.68920153853571,8.76093662189764,30.6083372991087
thick,0.25,3.85797030803921,7.21584097,-1.68991656600236,8.77303469924575,30.5897239105215
thick,0.25,3.85369318147342,7.2172501,-1.6906211374668,8.78500192570964,30.5712062498587
thick,0.25,3.84943914395517,7.21863693,-1.69131458670892,8.79683011698523,30.5528032278621
thick,0.25,3.8452103836691,7.2200031,-1.69199778002135,8.80851851740559,30.5345220867209
thick,0.25,3.8410121713865,7.22134711,-1.69266974429636,8.82005616663697,30.5163851626762
thick,0.25,3.83684391330783,7.22266985,-1.69333104188045,8.83144819534789,30.4983894089933
thick,0.25,3.83270785703205,7.22397452,-1.69398347378198,8.84269353198232,30.4805405671098
thick,0.25,3.82861721888424,7.22525833,-1.69462545337233,8.85375921552585,30.4628941578917
thick,0.25,3.82457625729127,7.22651944,-1.69525600438056,8.86463565586914,30.4454692241222
thick,0.25,3.82058253184672,7.22776183,-1.6958772449717,8.87533397259236,30.4282519405078
thick,0.25,3.81664692058112,7.22898292,-1.69648758208576,8.88582817476656,30.4112884722207
thick,0.25,3.81277278952099,7.23018708,-1.69708976545328,8.89611697223672,30.3945877267784
thick,0.25,3.80897443012617,7.23137169,-1.69768189270251,8.9061688896925,30.3782096052881
thick,0.25,3.80525451138878,7.23254052,-1.69826641448686,8.91598318148115,30.362161158956
thick,0.25,3.80162516431451,7.2336941,-1.69884329897472,8.92553330870354,30.3464900881335
thick,0.25,3.79809710246383,7.23483097,-1.69941157731461,8.93479528600622,30.3312409857364
thick,0.25,3.79467565202137,7.23595614,-1.69997434317418,8.94376218238283,30.316430202295
thick,0.25,3.79137247317906,7.23707001,-1.70053126088369,8.95240842865057,30.3021035465348
thick,0.25,3.78819766734756,7.2381768,-1.70108450253637,8.96071644355818,30.2882975275244
thick,0.25,3.78516131742015,7.23927784,-1.70163499530303,8.96866512722734,30.2750509301816
thick,0.25,3.78226719586469,7.24037781,-1.70218524339379,8.97625104765175,30.2623746661634
thick,0.25,3.77952196945413,7.24148183,-1.7027371340693,8.98346543759859,30.2502896944172
thick,0.25,3.77693004334866,7.24258202,-1.70328720499136,8.99029551198944,30.2388218681398
thick,0.25,3.7742638552324,7.24377084,-1.70388153484046,8.99734373930421,30.2269683192906
thick,0.25,3.77036654514184,7.24559206,-1.70479227210793,9.00770596767857,30.2095576376501
thick,0.25,3.76471897503838,7.24831481,-1.70615371829197,9.0228002286773,30.1842447009919
thick,0.25,3.75826232576958,7.25161603,-1.70780412887214,9.04016030563828,30.1551170127892
thick,0.25,3.75203766334646,7.25514327,-1.70956796786161,9.05707320305373,30.1266910492807
thick,0.25,3.74611819505923,7.25868659,-1.71133964200161,9.07328420543204,30.099469656698
thick,0.25,3.74030182083134,7.26212068,-1.7130566645532,9.08926732503049,30.0727702977969
thick,0.25,3.73442180492039,7.2655456,-1.71476884941631,9.1056188299555,30.0458250615252
thick,0.25,3.72863856957126,7.26912936,-1.71656093677056,9.1224210134754,30.019108394112
thick,0.25,3.72327042933555,7.27264883,-1.71832063324289,9.13927537530489,29.9941165036364
thick,0.25,3.71825513393998,7.27592733,-1.71995971239955,9.15663485092194,29.9707768194718
thick,0.25,3.71336955380849,7.27907209,-1.72153233641859,9.17525168063218,29.9480897656649
thick,0.25,3.70863946268171,7.28212424,-1.72305821388622,9.19496810204938,29.9261172652293
thick,0.25,3.70415836153489,7.28504456,-1.72451862296227,9.21528401011506,29.9052724695229
thick,0.25,3.69981458888424,7.2877993,-1.72589594628863,9.23589643128655,29.8851426606343
thick,0.25,3.69543267550173,7.2903578,-1.72717505345091,9.25649332656869,29.8650565136741
thick,0.25,3.69097484248582,7.29271326,-1.72835272390961,9.2767496299314,29.8448697272404
thick,0.25,3.68650326184998,7.2948956,-1.72944385657562,9.29647849124627,29.8248010371267
thick,0.25,3.68206519857139,7.29692164,-1.73045685092601,9.31555116444246,29.8050228032477
thick,0.25,3.67765022490766,7.29878849,-1.73139048014852,9.33386524548265,29.7854960454332
thick,0.25,3.67317222916283,7.30048698,-1.73223984571811,9.35135483321151,29.7658855732754
thick,0.25,3.66856329814411,7.30202641,-1.73300951219329,9.36807145117344,29.7459103946267
thick,0.25,3.66373909640716,7.30340909,-1.73370074289419,9.3840527273851,29.7252309221066
thick,0.25,3.65864001942845,7.30464894,-1.73432060975204,9.39941566352336,29.7035947622707
thick,0.25,3.65325045980428,7.3057633,-1.73487795905822,9.41428160098213,29.6809221851991
thick,0.25,3.64763388852526,7.30676942,-1.73538103428467,9.42874464661655,29.6574497915959
thick,0.25,3.64185423931442,7.30769018,-1.73584119834787,9.44290820788537,29.6334103774342
thick,0.25,3.63600360372574,7.30853845,-1.73626545650723,9.45677629313096,29.6091595770119
thick,0.25,3.63010147214124,7.30932657,-1.73665949017006,9.47038064506895,29.5847629291651
thick,0.25,3.62417539689755,7.3100568,-1.73702457947885,9.48370024163409,29.5603283916952
thick,0.25,3.61816945198184,7.31072965,-1.73736099206493,9.49675727918233,29.5356318014623
thick,0.25,3.61202361064172,7.31134497,-1.73766866101036,9.50959348025212,29.5104330711236
thick,0.25,3.60570543621259,7.31190905,-1.7379505979473,9.52229474787976,29.4845963398831
thick,0.25,3.59919632227585,7.31243242,-1.73821256051856,9.53495516213658,29.4580365204108
thick,0.25,3.59251288895029,7.31292262,-1.73845758897975,9.54761781431459,29.4308125038503
thick,0.25,3.58562861673327,7.31338641,-1.7386894167721,9.56036376942347,29.402811770552
thick,0.25,3.57855711023829,7.3138237,-1.73890802267321,9.57325695463082,29.3740883401782
thick,0.25,3.57128764142522,7.31423386,-1.73911304429272,9.58632529882737,29.3446003314673
thick,0.25,3.56384279932533,7.31461949,-1.73930583235469,9.59958944214075,29.3144352263973
thick,0.25,3.55623474554307,7.31498122,-1.73948671316716,9.61302286475628,29.2836412928733
