spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DA,0.7,4.72,0.0816,8.0343,0.0014,0.0134,4.5361,9.1614,8.9047,9.4867
DA,0.7,4.74,0.1706,8.0252,0.0012,0.0135,4.3135,9.0937,8.8353,9.4215
DA,0.7,4.76,0.2605,8.0153,0.001,0.0137,4.0886,9.0246,8.7645,9.3548
DA,0.7,4.78,0.3513,8.0045,0.0008,0.0139,3.8618,8.9542,8.6925,9.2867
DA,0.7,4.8,0.4428,7.9931,0.0007,0.014,3.6331,8.8823,8.6191,9.2171
DA,0.7,4.82,0.535,7.9808,0.0006,0.0143,3.4026,8.8091,8.5444,9.146
DA,0.7,4.84,0.6281,7.9677,0.0005,0.0145,3.1698,8.7337,8.4676,9.0727
DA,0.7,4.86,0.7219,7.9539,0.0004,0.0147,2.9353,8.6568,8.3893,8.9978
DA,0.7,4.88,0.8162,7.9397,0.0003,0.015,2.6996,8.5786,8.3099,8.9217
DA,0.7,4.9,0.9107,7.9251,0.0002,0.0152,2.4632,8.4999,8.2299,8.845
DA,1,3.44,-5.5129,8.6659,14.0998,0.0077,18.5222,18.1054,18.588,17.4821
DA,1,3.46,-5.4328,8.6658,13.8786,0.0077,18.322,17.9308,18.4688,17.2617
DA,1,3.48,-5.3527,8.6657,13.6575,0.0077,18.1217,17.7639,18.3521,17.056
DA,1,3.5,-5.2726,8.6656,13.4363,0.0077,17.9215,17.5996,18.2319,16.8594
DA,1,3.52,-5.1925,8.6656,13.2152,0.0077,17.7213,17.4398,18.1058,16.6756
DA,1,3.54,-5.1124,8.6655,12.994,0.0077,17.521,17.288,17.9756,16.5084
DA,1,3.56,-5.0323,8.6654,12.7763,0.0077,17.3208,17.1402,17.8318,16.3568
DA,1,3.58,-4.9522,8.6652,12.5365,0.0077,17.1205,16.9926,17.6799,16.2107
DA,1,3.6,-4.8721,8.6651,12.2638,0.0077,16.9202,16.8466,17.5142,16.0765
DA,1,3.62,-4.7919,8.665,11.9467,0.0077,16.7198,16.6818,17.314,15.935
DA,1,3.64,-4.7117,8.6647,11.5411,0.0077,16.5193,16.5168,17.1136,15.7934
