spec_type,mWD,log(teff),log(L),logg,age(Gyrs),R(Rsun),Mbol,G,BP,RP
DB,1.3,4.36,-2.5538,9.5009,0.8557,0.0033,11.1245,13.4163,13.2516,13.5548
DB,1.3,4.38,-2.4738,9.5008,0.8044,0.0033,10.9244,13.3451,13.1769,13.4902
DB,1.3,4.4,-2.3931,9.5001,0.7521,0.0033,10.7226,13.282,13.1102,13.4334
DB,1.3,4.42,-2.312,9.499,0.7005,0.0033,10.5199,13.23,13.0548,13.3879
DB,1.3,4.44,-2.2284,9.4955,0.646,0.0033,10.3111,13.1848,13.0065,13.3488
DB,1.3,4.46,-2.1428,9.4899,0.5874,0.0034,10.0971,13.1451,12.9645,13.3133
DB,1.3,4.48,-2.0539,9.481,0.5252,0.0034,9.8748,13.0968,12.9139,13.2695
DB,1.3,4.5,-1.9642,9.4712,0.4634,0.0034,9.6504,13.0405,12.8547,13.2187
DB,1.3,4.52,-1.8617,9.4488,0.3833,0.0035,9.3942,12.9455,12.7563,13.1305
DB,1.3,4.54,-1.7246,9.3917,0.2555,0.0038,9.0515,12.7548,12.5614,12.9482
DB,1.3,4.56,-1.6286,9.3757,0.1941,0.0039,8.8115,12.6575,12.4588,12.861
DB,1.3,4.58,-1.5471,9.3741,0.1643,0.0039,8.6077,12.5867,12.3822,12.8007
DB,1.3,4.6,-1.4662,9.3732,0.1406,0.0039,8.4054,12.5085,12.2978,12.7332
DB,1.3,4.62,-1.3852,9.3723,0.1194,0.0039,8.203,12.4255,12.2086,12.6605
DB,1.3,4.64,-1.3042,9.3712,0.1007,0.0039,8.0004,12.3383,12.1152,12.5837
DB,1.3,4.66,-1.2231,9.3702,0.084,0.0039,7.7977,12.2447,12.0152,12.5013
DB,1.3,4.68,-1.1419,9.369,0.0692,0.0039,7.5948,12.1386,11.9019,12.4075
DB,1.3,4.7,-1.0606,9.3677,0.056,0.0039,7.3916,11.9997,11.7536,12.2848
DB,1.3,4.72,-0.9793,9.3663,0.0444,0.0039,7.1882,11.7657,11.5077,12.073
DB,1.3,4.74,-0.8978,9.3649,0.0342,0.0039,6.9846,11.6154,11.3527,11.9336
DB,1.3,4.76,-0.8163,9.3633,0.0252,0.0039,6.7806,11.5397,11.2751,11.8627
DB,1.3,4.78,-0.7344,9.3615,0.0174,0.0039,6.576,11.4862,11.2204,11.8123
DB,1.3,4.8,-0.652,9.3591,0.0108,0.0039,6.3701,11.4411,11.1743,11.7696
DB,1.3,4.82,-0.5689,9.356,0.0054,0.0039,6.1623,11.3923,11.1261,11.7242
DB,1.3,4.84,-0.4844,9.3515,0.0016,0.004,5.9511,11.3377,11.0719,11.671
DB,1.3,4.86,-0.4014,9.3485,0.0007,0.004,5.7435,11.2731,11.0023,11.6081
DB,1.3,4.88,-0.3195,9.3465,0.0004,0.004,5.5387,11.2202,10.9479,11.5581
DB,1.3,4.9,-0.2378,9.3449,0.0003,0.004,5.3346,11.1688,10.8947,11.5102
DB,1.2,3.44,-5.8836,9.1158,3.7248,0.005,19.449,20.1431,21.3901,19.0894
DB,1.2,3.46,-5.8036,9.1157,3.7165,0.005,19.2489,19.8598,21.032,18.8325
DB,1.2,3.48,-5.7236,9.1157,3.7083,0.005,19.0489,19.5832,20.6826,18.5834
DB,1.2,3.5,-5.6436,9.1157,3.7,0.005,18.8489,19.3065,20.335,18.3358
DB,1.2,3.52,-5.5636,9.1157,3.6916,0.005,18.649,19.0342,19.9944,18.0938
DB,1.2,3.54,-5.4836,9.1157,3.6826,0.005,18.449,18.7709,19.6666,17.8613
DB,1.2,3.56,-5.4036,9.1157,3.6729,0.005,18.249,18.5081,19.3402,17.6311
DB,1.2,3.58,-5.3236,9.1157,3.6616,0.005,18.049,18.2508,19.022,17.4073
DB,1.2,3.6,-5.2436,9.1157,3.648,0.005,17.849,18.0008,18.7143,17.1914
DB,1.2,3.62,-5.1636,9.1157,3.6315,0.005,17.649,17.7548,18.4124,16.9809
DB,1.2,3.64,-5.0836,9.1157,3.6124,0.005,17.449,17.5136,18.1177,16.776
DB,1.2,3.66,-5.0036,9.1156,3.5907,0.005,17.2489,17.2797,17.8328,16.5789
DB,1.2,3.68,-4.9236,9.1156,3.5662,0.005,17.0489,17.0488,17.5526,16.3857
DB,1.2,3.7,-4.8436,9.1156,3.5382,0.005,16.8489,16.8299,17.2878,16.2041
DB,1.2,3.72,-4.7635,9.1156,3.5068,0.005,16.6489,16.6138,17.0275,16.0261
DB,1.2,3.74,-4.6835,9.1156,3.4717,0.005,16.4488,16.4063,16.7785,15.8562
DB,1.2,3.76,-4.6035,9.1156,3.4326,0.005,16.2488,16.2076,16.5409,15.6944
DB,1.2,3.78,-4.5235,9.1156,3.3893,0.005,16.0487,16.0109,16.3063,15.5357
DB,1.2,3.8,-4.4435,9.1155,3.3384,0.005,15.8487,15.8225,16.0827,15.384
DB,1.2,3.82,-4.3634,9.1155,3.283,0.005,15.6486,15.6456,15.8741,15.2414
DB,1.2,3.84,-4.2834,9.1155,3.2211,0.005,15.4485,15.4622,15.6575,15.0964
DB,1.2,3.86,-4.2034,9.1154,3.1517,0.005,15.2484,15.2744,15.4353,14.9487
DB,1.2,3.88,-4.1233,9.1154,3.0746,0.005,15.0483,15.1091,15.2424,14.8169
DB,1.2,3.9,-4.0432,9.1153,2.9877,0.005,14.8481,14.9535,15.0609,14.6939
DB,1.2,3.92,-3.9632,9.1152,2.8905,0.005,14.6479,14.8028,14.8857,14.5751
DB,1.2,3.94,-3.8831,9.1151,2.7814,0.005,14.4477,14.6569,14.7169,14.4596
DB,1.2,3.96,-3.803,9.115,2.6587,0.005,14.2475,14.5176,14.5561,14.3496
DB,1.2,3.98,-3.7229,9.1149,2.5208,0.005,14.0471,14.3835,14.402,14.2437
DB,1.2,4,-3.6427,9.1148,2.3692,0.005,13.8467,14.2561,14.2556,14.1436
DB,1.2,4.02,-3.5625,9.1146,2.2082,0.005,13.6462,14.1535,14.1326,14.0701
DB,1.2,4.04,-3.4823,9.1144,2.0473,0.005,13.4457,14.0322,13.9953,13.9728
DB,1.2,4.06,-3.4021,9.1141,1.8953,0.005,13.2452,13.9162,13.8648,13.8784
DB,1.2,4.08,-3.3218,9.1139,1.7582,0.0051,13.0446,13.806,13.741,13.7889
DB,1.2,4.1,-3.2416,9.1137,1.6368,0.0051,12.8441,13.7017,13.6238,13.7045
DB,1.2,4.12,-3.1614,9.1134,1.5268,0.0051,12.6434,13.6007,13.5114,13.6213
DB,1.2,4.14,-3.081,9.113,1.4205,0.0051,12.4425,13.502,13.4022,13.5381
DB,1.2,4.16,-3.0006,9.1126,1.3211,0.0051,12.2415,13.4076,13.2985,13.4586
DB,1.2,4.18,-2.9201,9.1122,1.2269,0.0051,12.0403,13.3137,13.1962,13.3777
DB,1.2,4.2,-2.8393,9.1113,1.133,0.0051,11.8381,13.2187,13.094,13.294
DB,1.2,4.22,-2.7584,9.1105,1.0425,0.0051,11.6361,13.124,12.9933,13.2089
DB,1.2,4.24,-2.6776,9.1096,0.9561,0.0051,11.4339,13.0269,12.8913,13.1201
DB,1.2,4.26,-2.5966,9.1087,0.8727,0.0051,11.2316,12.9266,12.788,13.0282
DB,1.2,4.28,-2.5138,9.1058,0.7874,0.0051,11.0244,12.8254,12.6821,12.9321
DB,1.2,4.3,-2.4301,9.1021,0.704,0.0051,10.8151,12.7222,12.5755,12.8351
DB,1.2,4.32,-2.3475,9.0996,0.6272,0.0051,10.6089,12.6135,12.4618,12.7349
DB,1.2,4.34,-2.2634,9.0954,0.5506,0.0052,10.3984,12.5211,12.3647,12.6507
DB,1.2,4.36,-2.1784,9.0904,0.4769,0.0052,10.1859,12.4463,12.2856,12.5833
DB,1.2,4.38,-2.093,9.0851,0.4105,0.0052,9.9725,12.3794,12.2145,12.5241
DB,1.2,4.4,-2.0083,9.0803,0.3511,0.0052,9.7607,12.3198,12.1509,12.4721
DB,1.2,4.42,-1.9215,9.0735,0.2917,0.0053,9.5437,12.2721,12.1003,12.4296
DB,1.2,4.44,-1.8364,9.0685,0.2399,0.0053,9.3311,12.2365,12.0625,12.3981
DB,1.2,4.46,-1.7552,9.0673,0.2049,0.0053,9.1281,12.2057,12.0292,12.3722
DB,1.2,4.48,-1.6744,9.0665,0.1769,0.0053,8.926,12.1692,11.9894,12.3417
DB,1.2,4.5,-1.5935,9.0656,0.1518,0.0053,8.7239,12.1257,11.942,12.3057
DB,1.2,4.52,-1.5126,9.0647,0.1294,0.0053,8.5215,12.0749,11.8866,12.2638
DB,1.2,4.54,-1.4316,9.0637,0.1094,0.0053,8.3191,12.0155,11.8217,12.2143
DB,1.2,4.56,-1.3506,9.0626,0.0916,0.0054,8.1164,11.9467,11.7471,12.156
DB,1.2,4.58,-1.2694,9.0615,0.0758,0.0054,7.9136,11.8699,11.664,12.0896
DB,1.2,4.6,-1.1882,9.0603,0.0617,0.0054,7.7105,11.7882,11.5763,12.0182
DB,1.2,4.62,-1.1069,9.0589,0.0491,0.0054,7.5072,11.7028,11.4847,11.9432
DB,1.2,4.64,-1.0255,9.0575,0.0381,0.0054,7.3037,11.6123,11.3878,11.8632
DB,1.2,4.66,-0.9439,9.056,0.0284,0.0054,7.0998,11.5132,11.282,11.7754
DB,1.2,4.68,-0.8622,9.0542,0.0202,0.0054,6.8954,11.3967,11.1575,11.6723
DB,1.2,4.7,-0.7803,9.0523,0.0134,0.0054,6.6906,11.2258,10.9754,11.5209
DB,1.2,4.72,-0.6982,9.0503,0.0084,0.0054,6.4856,10.9895,10.7295,11.3028
DB,1.2,4.74,-0.6161,9.0481,0.0046,0.0054,6.2802,10.8818,10.6189,11.202
DB,1.2,4.76,-0.5336,9.0457,0.0021,0.0055,6.0741,10.8185,10.5541,11.142
DB,1.2,4.78,-0.4515,9.0435,0.0011,0.0055,5.8687,10.7705,10.5051,11.0965
DB,1.2,4.8,-0.3697,9.0418,0.0008,0.0055,5.6642,10.7296,10.4634,11.0575
DB,1.2,4.82,-0.288,9.0401,0.0006,0.0055,5.4601,10.6905,10.424,11.0185
DB,1.2,4.84,-0.2064,9.0384,0.0005,0.0055,5.2559,10.6275,10.3594,10.9575
DB,1.2,4.86,-0.1247,9.0368,0.0004,0.0055,5.0518,10.5659,10.2951,10.9009
DB,1.2,4.88,-0.043,9.0351,0.0003,0.0055,4.8476,10.5137,10.2414,10.8515
DB,1.2,4.9,0.0387,9.0334,0.0003,0.0055,4.6432,10.4619,10.1878,10.8034
DB,0.5,3.44,-5.0147,7.8672,6.2186,0.0136,17.2768,17.4895,18.5645,16.5058
DB,0.5,3.46,-4.9347,7.8672,5.9797,0.0136,17.0767,17.2564,18.2787,16.2942
DB,0.5,3.48,-4.8547,7.8672,5.7537,0.0136,16.8766,17.0273,17.997,16.0879
DB,0.5,3.5,-4.7746,7.8671,5.5359,0.0136,16.6765,16.7963,17.7137,15.881
DB,0.5,3.52,-4.6946,7.8671,5.324,0.0136,16.4764,16.5664,17.4329,15.6761
DB,0.5,3.54,-4.6145,7.867,5.1131,0.0136,16.2763,16.3429,17.1603,15.478
DB,0.5,3.56,-4.5344,7.867,4.8981,0.0136,16.0761,16.119,16.8871,15.2811
DB,0.5,3.58,-4.4544,7.8669,4.673,0.0136,15.8759,15.8953,16.6148,15.0857
DB,0.5,3.6,-4.3742,7.8667,4.4396,0.0136,15.6756,15.6748,16.3468,14.8947
DB,0.5,3.62,-4.2941,7.8666,4.2005,0.0136,15.4752,15.455,16.0798,14.7058
DB,0.5,3.64,-4.2139,7.8664,3.9673,0.0136,15.2748,15.2389,15.8179,14.5215
DB,0.5,3.66,-4.1337,7.8662,3.7495,0.0136,15.0743,15.0253,15.5596,14.3409
DB,0.5,3.68,-4.0535,7.866,3.5017,0.0137,14.8737,14.8152,15.306,14.1647
DB,0.5,3.7,-3.9732,7.8657,3.2583,0.0137,14.673,14.6107,15.0595,13.9943
DB,0.5,3.72,-3.8929,7.8654,3.0337,0.0137,14.4723,14.404,14.8109,13.8239
DB,0.5,3.74,-3.8126,7.8651,2.7955,0.0137,14.2714,14.206,14.5733,13.6618
DB,0.5,3.76,-3.7322,7.8647,2.5655,0.0137,14.0704,14.0142,14.3437,13.5061
DB,0.5,3.78,-3.6517,7.8642,2.3347,0.0137,13.8693,13.8241,14.1171,13.3523
DB,0.5,3.8,-3.5711,7.8636,2.0872,0.0137,13.6678,13.6414,13.9002,13.2053
DB,0.5,3.82,-3.4904,7.8629,1.8344,0.0137,13.4661,13.4667,13.6941,13.0646
DB,0.5,3.84,-3.4096,7.8621,1.6082,0.0137,13.2641,13.2946,13.4922,12.9262
DB,0.5,3.86,-3.3285,7.861,1.4447,0.0137,13.0612,13.0951,13.2543,12.7719
DB,0.5,3.88,-3.2473,7.8598,1.2804,0.0138,12.8581,12.9271,13.0589,12.6371
DB,0.5,3.9,-3.1657,7.8583,1.1209,0.0138,12.6543,12.7678,12.8736,12.5106
DB,0.5,3.92,-3.0838,7.8563,0.9641,0.0138,12.4496,12.6141,12.6954,12.3887
DB,0.5,3.94,-3.0015,7.854,0.8162,0.0138,12.2437,12.464,12.5224,12.2692
DB,0.5,3.96,-2.9188,7.8513,0.6845,0.0139,12.0369,12.3188,12.3556,12.1536
DB,0.5,3.98,-2.8358,7.8483,0.5752,0.0139,11.8294,12.1786,12.1956,12.0411
DB,0.5,4,-2.7529,7.8454,0.4922,0.014,11.6222,12.0442,12.0426,11.9335
DB,0.5,4.02,-2.6702,7.8427,0.4284,0.014,11.4154,11.9246,11.9048,11.8398
DB,0.5,4.04,-2.5876,7.8401,0.3763,0.0141,11.2089,11.8012,11.7655,11.7401
DB,0.5,4.06,-2.505,7.8375,0.3314,0.0141,11.0025,11.68,11.6301,11.6404
DB,0.5,4.08,-2.4224,7.8349,0.2918,0.0141,10.796,11.5649,11.5013,11.5461
DB,0.5,4.1,-2.3397,7.8322,0.2565,0.0142,10.5893,11.4537,11.3776,11.4547
DB,0.5,4.12,-2.2569,7.8295,0.2245,0.0142,10.3824,11.344,11.2566,11.3632
DB,0.5,4.14,-2.174,7.8265,0.1955,0.0143,10.1749,11.2353,11.1379,11.2714
DB,0.5,4.16,-2.0908,7.8233,0.1691,0.0143,9.967,11.1265,11.02,11.1783
DB,0.5,4.18,-2.0074,7.8199,0.1452,0.0144,9.7585,11.0171,10.9028,11.0834
DB,0.5,4.2,-1.9237,7.8162,0.1237,0.0145,9.5493,10.907,10.786,10.9862
DB,0.5,4.22,-1.8397,7.8122,0.1044,0.0145,9.3392,10.797,10.6703,10.8879
DB,0.5,4.24,-1.7553,7.8078,0.0875,0.0146,9.1283,10.6893,10.5576,10.7908
DB,0.5,4.26,-1.6705,7.803,0.0728,0.0147,8.9163,10.5862,10.4498,10.6975
DB,0.5,4.28,-1.5854,7.7979,0.0602,0.0148,8.7036,10.4898,10.349,10.6105
DB,0.5,4.3,-1.5,7.7925,0.0495,0.0148,8.4901,10.4015,10.2561,10.5316
DB,0.5,4.32,-1.4143,7.7868,0.0408,0.0149,8.2758,10.3238,10.1738,10.4628
DB,0.5,4.34,-1.3283,7.7808,0.0337,0.0151,8.0607,10.2648,10.1112,10.4108
DB,0.5,4.36,-1.2418,7.7743,0.028,0.0152,7.8445,10.2253,10.0697,10.3755
DB,0.5,4.38,-1.1556,7.7681,0.0236,0.0153,7.629,10.1873,10.0295,10.3415
DB,0.5,4.4,-1.0694,7.762,0.02,0.0154,7.4136,10.1416,9.9811,10.3011
DB,0.5,4.42,-0.983,7.7555,0.0172,0.0155,7.1974,10.0815,9.9169,10.2487
DB,0.5,4.44,-0.8962,7.7487,0.0148,0.0156,6.9806,10.0079,9.8376,10.1853
DB,0.5,4.46,-0.8091,7.7416,0.0128,0.0157,6.7627,9.9252,9.7487,10.1142
DB,0.5,4.48,-0.7212,7.7337,0.0111,0.0159,6.543,9.8362,9.6531,10.0366
DB,0.5,4.5,-0.6326,7.7251,0.0097,0.016,6.3216,9.7431,9.5535,9.9543
DB,0.5,4.52,-0.5432,7.7157,0.0084,0.0162,6.0981,9.6464,9.4504,9.8676
DB,0.5,4.54,-0.4532,7.7057,0.0074,0.0164,5.8729,9.5459,9.3439,9.7768
DB,0.5,4.56,-0.362,7.6945,0.0064,0.0166,5.6449,9.4398,9.2314,9.6804
DB,0.5,4.58,-0.2699,7.6824,0.0056,0.0168,5.4147,9.3274,9.1128,9.5779
DB,0.5,4.6,-0.177,7.6695,0.0049,0.0171,5.1825,9.2076,8.9864,9.4685
DB,0.5,4.62,-0.0827,7.6552,0.0042,0.0174,4.9468,9.0767,8.8486,9.3487
DB,0.5,4.64,0.0128,7.6397,0.0037,0.0177,4.7079,8.9302,8.6944,9.2148
DB,0.5,4.66,0.1095,7.623,0.0031,0.018,4.4662,8.7488,8.5028,9.0505
DB,0.5,4.68,0.2074,7.6051,0.0027,0.0184,4.2214,8.4545,8.1972,8.7708
DB,0.5,4.7,0.3073,7.5852,0.0023,0.0188,3.9718,8.2989,8.0395,8.6167
DB,0.5,4.72,0.409,7.5635,0.0019,0.0193,3.7175,8.1941,7.9339,8.5132
DB,0.5,4.74,0.5123,7.5402,0.0016,0.0198,3.4594,8.0989,7.838,8.419
DB,0.5,4.76,0.6169,7.5156,0.0013,0.0203,3.1977,7.9987,7.7382,8.3168
DB,0.5,4.78,0.7252,7.4873,0.001,0.021,2.9269,7.8624,7.597,8.1892
DB,0.5,4.8,0.8361,7.4564,0.0008,0.0217,2.6497,7.7367,7.4701,8.0648
DB,0.5,4.82,0.9494,7.4231,0.0006,0.0225,2.3666,7.606,7.3381,7.9358
DB,0.5,4.84,1.0649,7.3876,0.0004,0.0235,2.0778,7.4703,7.2009,7.8027
DB,0.5,4.86,1.1825,7.35,0.0003,0.0245,1.7837,7.33,7.0592,7.665
DB,0.5,4.88,1.3028,7.3097,0.0002,0.0256,1.483,7.1842,6.9118,7.5221
DB,0.5,4.9,1.4252,7.2674,0.0001,0.0268,1.1771,7.0333,6.7591,7.3749
DB,0.8,3.44,-5.3105,8.3652,8.6346,0.0097,18.0163,18.4235,19.5753,17.4061
DB,0.8,3.46,-5.2305,8.3652,8.5275,0.0097,17.8163,18.1705,19.2589,17.1774
DB,0.8,3.48,-5.1505,8.3652,8.419,0.0097,17.6162,17.9224,18.95,16.9549
DB,0.8,3.5,-5.0705,8.3652,8.308,0.0097,17.4162,17.6756,18.643,16.7339
DB,0.8,3.52,-4.9905,8.3652,8.1931,0.0097,17.2162,17.4331,18.3423,16.5185
DB,0.8,3.54,-4.9105,8.3652,8.069,0.0097,17.0161,17.1884,18.04,16.3027
DB,0.8,3.56,-4.8304,8.3652,7.9298,0.0097,16.8161,16.9506,17.7474,16.0943
DB,0.8,3.58,-4.7504,8.3652,7.7704,0.0097,16.616,16.716,17.4593,15.8902
DB,0.8,3.6,-4.6704,8.3651,7.596,0.0097,16.4159,16.4816,17.1721,15.6878
DB,0.8,3.62,-4.5903,8.3651,7.4006,0.0097,16.2158,16.252,16.8917,15.491
DB,0.8,3.64,-4.5103,8.365,7.199,0.0097,16.0157,16.0248,16.615,15.2979
DB,0.8,3.66,-4.4302,8.365,6.9926,0.0097,15.8155,15.8005,16.3426,15.1088
DB,0.8,3.68,-4.3502,8.3649,6.7816,0.0097,15.6154,15.5837,16.0801,14.9273
DB,0.8,3.7,-4.2701,8.3648,6.5649,0.0097,15.4152,15.37,15.822,14.7501
DB,0.8,3.72,-4.19,8.3647,6.3387,0.0097,15.215,15.1643,15.5746,14.5803
DB,0.8,3.74,-4.1099,8.3646,6.1069,0.0097,15.0147,14.9584,15.3274,14.4119
DB,0.8,3.76,-4.0298,8.3645,5.8685,0.0097,14.8145,14.7614,15.0917,14.2519
DB,0.8,3.78,-3.9497,8.3644,5.6251,0.0097,14.6142,14.5719,14.8655,14.0988
DB,0.8,3.8,-3.8695,8.3642,5.3557,0.0097,14.4137,14.3872,14.6465,13.95
DB,0.8,3.82,-3.7893,8.3641,5.0833,0.0097,14.2133,14.2062,14.4329,13.8044
DB,0.8,3.84,-3.7091,8.3638,4.7612,0.0097,14.0127,14.0406,14.2387,13.671
DB,0.8,3.86,-3.6288,8.3635,4.2788,0.0098,13.8119,13.8401,14.0001,13.5156
DB,0.8,3.88,-3.5484,8.3631,3.8404,0.0098,13.611,13.6791,13.812,13.3876
DB,0.8,3.9,-3.468,8.3627,3.3867,0.0098,13.4099,13.5175,13.6239,13.2594
DB,0.8,3.92,-3.3875,8.3622,2.9237,0.0098,13.2087,13.3651,13.447,13.1389
DB,0.8,3.94,-3.3069,8.3616,2.485,0.0098,13.0072,13.2202,13.2791,13.0245
DB,0.8,3.96,-3.2261,8.3609,2.0901,0.0098,12.8053,13.0801,13.1175,12.9137
DB,0.8,3.98,-3.1451,8.3599,1.7086,0.0098,12.6029,12.9444,12.9617,12.8066
DB,0.8,4,-3.0639,8.3586,1.3704,0.0098,12.3997,12.8144,12.8131,12.703
DB,0.8,4.02,-2.9826,8.3574,1.1494,0.0098,12.1966,12.7007,12.6805,12.6164
DB,0.8,4.04,-2.9014,8.3562,0.9837,0.0098,11.9935,12.5789,12.543,12.5179
DB,0.8,4.06,-2.8203,8.355,0.8525,0.0098,11.7908,12.4619,12.4116,12.4227
DB,0.8,4.08,-2.7393,8.354,0.7449,0.0099,11.5883,12.3509,12.2869,12.3323
DB,0.8,4.1,-2.6583,8.3531,0.6532,0.0099,11.3858,12.2446,12.1679,12.2458
DB,0.8,4.12,-2.5774,8.3521,0.5731,0.0099,11.1834,12.1409,12.0528,12.16
DB,0.8,4.14,-2.4963,8.3511,0.5025,0.0099,10.9809,12.0394,11.9411,12.0748
DB,0.8,4.16,-2.4153,8.35,0.4399,0.0099,10.7782,11.938,11.8307,11.9885
DB,0.8,4.18,-2.3342,8.3489,0.3844,0.0099,10.5755,11.8278,11.7111,11.8945
DB,0.8,4.2,-2.253,8.3478,0.3349,0.0099,10.3726,11.7248,11.601,11.8042
DB,0.8,4.22,-2.1718,8.3465,0.2907,0.0099,10.1694,11.629,11.5002,11.7176
DB,0.8,4.24,-2.0904,8.3452,0.2511,0.01,9.966,11.5333,11.4006,11.6297
DB,0.8,4.26,-2.0089,8.3437,0.2156,0.01,9.7624,11.4341,11.2973,11.5386
DB,0.8,4.28,-1.9273,8.3421,0.1836,0.01,9.5583,11.34,11.1992,11.4522
DB,0.8,4.3,-1.8456,8.3403,0.1549,0.01,9.354,11.2525,11.1074,11.3728
DB,0.8,4.32,-1.7637,8.3385,0.129,0.01,9.1493,11.1726,11.0229,11.3014
DB,0.8,4.34,-1.6817,8.3364,0.1058,0.0101,8.9442,11.103,10.9486,11.2404
DB,0.8,4.36,-1.5995,8.3342,0.0851,0.0101,8.7387,11.0476,10.8892,11.1925
DB,0.8,4.38,-1.5171,8.3319,0.0671,0.0101,8.5329,11.0119,10.8509,11.1617
DB,0.8,4.4,-1.4347,8.3294,0.0517,0.0101,8.3267,10.9823,10.8191,11.1362
DB,0.8,4.42,-1.3523,8.327,0.039,0.0102,8.1206,10.9479,10.7821,11.1068
DB,0.8,4.44,-1.2697,8.3245,0.0288,0.0102,7.9144,10.9044,10.7352,11.07
DB,0.8,4.46,-1.1871,8.3218,0.0207,0.0102,7.7078,10.851,10.6773,11.0251
DB,0.8,4.48,-1.1043,8.3191,0.0147,0.0103,7.5008,10.7889,10.6097,10.9732
DB,0.8,4.5,-1.0215,8.3162,0.0105,0.0103,7.2937,10.7189,10.5336,10.9142
DB,0.8,4.52,-0.9386,8.3133,0.0078,0.0103,7.0864,10.6423,10.4507,10.8487
DB,0.8,4.54,-0.8555,8.3103,0.006,0.0104,6.8788,10.5612,10.3633,10.7783
DB,0.8,4.56,-0.7724,8.3072,0.0049,0.0104,6.6711,10.4776,10.2733,10.7047
DB,0.8,4.58,-0.6893,8.304,0.004,0.0105,6.4632,10.3909,10.1805,10.6281
DB,0.8,4.6,-0.606,8.3008,0.0034,0.0105,6.2551,10.3003,10.0837,10.5474
DB,0.8,4.62,-0.5226,8.2974,0.0029,0.0105,6.0466,10.2037,9.9807,10.4611
DB,0.8,4.64,-0.4391,8.2938,0.0026,0.0106,5.8377,10.0984,9.8685,10.3669
DB,0.8,4.66,-0.3554,8.2901,0.0022,0.0106,5.6284,9.9779,9.7403,10.2592
DB,0.8,4.68,-0.2715,8.2862,0.002,0.0107,5.4187,9.8119,9.563,10.1117
DB,0.8,4.7,-0.1874,8.2821,0.0017,0.0107,5.2084,9.5577,9.2989,9.8733
DB,0.8,4.72,-0.1031,8.2778,0.0015,0.0108,4.9976,9.4501,9.1889,9.77
DB,0.8,4.74,-0.0185,8.2733,0.0014,0.0108,4.7863,9.3859,9.1235,9.708
DB,0.8,4.76,0.0663,8.2685,0.0012,0.0109,4.5744,9.3339,9.0706,9.6577
DB,0.8,4.78,0.1513,8.2634,0.0011,0.011,4.3617,9.2848,9.0211,9.6094
DB,0.8,4.8,0.2367,8.258,0.0009,0.011,4.1482,9.219,8.9545,9.5433
DB,0.8,4.82,0.3225,8.2523,0.0008,0.0111,3.9338,9.1437,8.8758,9.4735
DB,0.8,4.84,0.4086,8.2461,0.0007,0.0112,3.7184,9.0787,8.8093,9.4111
DB,0.8,4.86,0.4952,8.2395,0.0006,0.0113,3.5019,9.0129,8.7421,9.3478
DB,0.8,4.88,0.5825,8.2322,0.0006,0.0114,3.2837,8.946,8.6737,9.2838
DB,0.8,4.9,0.6704,8.2243,0.0005,0.0115,3.0639,8.8782,8.6041,9.2196
DB,1.1,3.44,-5.6643,8.8587,4.7742,0.0065,18.9007,19.5088,20.7267,18.4658
DB,1.1,3.46,-5.5843,8.8587,4.7516,0.0065,18.7007,19.2387,20.3855,18.2213
DB,1.1,3.48,-5.5043,8.8587,4.729,0.0065,18.5007,18.9714,20.049,17.9809
DB,1.1,3.5,-5.4243,8.8587,4.7064,0.0065,18.3008,18.7023,19.7117,17.7404
DB,1.1,3.52,-5.3443,8.8587,4.6837,0.0065,18.1008,18.4417,19.3867,17.5088
DB,1.1,3.54,-5.2643,8.8587,4.6606,0.0065,17.9008,18.1843,19.0666,17.2816
DB,1.1,3.56,-5.1843,8.8587,4.6344,0.0065,17.7007,17.9287,18.7498,17.0579
DB,1.1,3.58,-5.1043,8.8587,4.6041,0.0065,17.5007,17.6795,18.4424,16.8411
DB,1.1,3.6,-5.0243,8.8587,4.5683,0.0065,17.3007,17.4349,18.1416,16.6301
DB,1.1,3.62,-4.9443,8.8587,4.5258,0.0065,17.1007,17.193,17.8451,16.423
DB,1.1,3.64,-4.8642,8.8587,4.4781,0.0065,16.9006,16.9576,17.5577,16.2229
DB,1.1,3.66,-4.7842,8.8586,4.4254,0.0065,16.7006,16.7259,17.2758,16.0277
DB,1.1,3.68,-4.7042,8.8586,4.3669,0.0065,16.5005,16.4988,17.0002,15.8378
DB,1.1,3.7,-4.6242,8.8586,4.3023,0.0065,16.3005,16.2822,16.7384,15.658
DB,1.1,3.72,-4.5442,8.8586,4.2313,0.0065,16.1004,16.0678,16.48,15.4815
DB,1.1,3.74,-4.4641,8.8586,4.1537,0.0065,15.9003,15.8657,16.2378,15.3158
DB,1.1,3.76,-4.3841,8.8585,4.0689,0.0065,15.7002,15.6617,15.9935,15.1502
DB,1.1,3.78,-4.3041,8.8585,3.9768,0.0065,15.5002,15.4687,15.7635,14.9942
DB,1.1,3.8,-4.224,8.8584,3.8707,0.0065,15.3,15.2826,15.5425,14.8446
DB,1.1,3.82,-4.144,8.8584,3.7584,0.0065,15.0999,15.1043,15.3324,14.7009
DB,1.1,3.84,-4.0639,8.8583,3.6363,0.0065,14.8997,14.931,15.129,14.5613
DB,1.1,3.86,-3.9838,8.8582,3.503,0.0065,14.6995,14.7341,14.8945,14.4088
DB,1.1,3.88,-3.9037,8.8581,3.3608,0.0065,14.4993,14.5711,14.7042,14.2794
