spec_type,Mass,Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age
DA,0.2,5500,7.075,13.3,-0.175,13.954,14.125,13.475,0.021959692140836,12.625,12.196,11.878,11.797,12.405,12.156,11.862,11.766,11.684,11.644,11.613,11.612,11.674,11.646,11.629,11.617,14.783,13.788,13.271,13.09,13.026,13.7,13.267,13.087,13.029,13.018,13.249,13.601,12.72,13.268,13.624,12.735,25.891,18.608,982700000
DA,0.2,6000,7.047,12.85,-0.143,13.128,13.511,12.993,0.022701216238614,12.279,11.923,11.637,11.585,12.108,11.883,11.619,11.556,11.505,11.484,11.479,11.474,11.5,11.485,11.479,11.478,13.956,13.225,12.843,12.724,12.702,13.158,12.841,12.722,12.7,12.71,12.81,13.081,12.359,12.828,13.109,12.375,24.421,16.857,750400000
DA,0.2,6500,7.03,12.46,-0.141,12.534,13.028,12.6,0.023148609727288,11.998,11.707,11.457,11.429,11.869,11.669,11.439,11.4,11.374,11.367,11.371,11.357,11.371,11.367,11.368,11.372,13.363,12.774,12.494,12.425,12.439,12.722,12.492,12.425,12.432,12.461,12.45,12.66,12.064,12.468,12.693,12.082,22.911,15.557,584000000
DA,0.2,7000,7.014,12.098,-0.155,12.063,12.613,12.252,0.023580637731332,11.742,11.513,11.302,11.291,11.651,11.477,11.282,11.262,11.253,11.255,11.26,11.243,11.253,11.255,11.259,11.263,12.893,12.382,12.181,12.155,12.2,12.34,12.18,12.156,12.189,12.234,12.127,12.292,11.797,12.145,12.327,11.816,21.304,14.608,451700000
DA,0.2,7500,6.997,11.757,-0.176,11.671,12.242,11.933,0.024034168384154,11.505,11.333,11.16,11.163,11.449,11.299,11.139,11.134,11.137,11.145,11.149,11.133,11.138,11.144,11.149,11.152,12.504,12.028,11.893,11.905,11.979,11.994,11.893,11.906,11.964,12.024,11.83,11.958,11.55,11.848,11.995,11.569,19.556,13.874,343400000
DA,0.2,8000,6.98,11.433,-0.2,11.336,11.901,11.633,0.024522890127638,11.282,11.163,11.027,11.041,11.257,11.131,11.005,11.012,11.023,11.034,11.038,11.025,11.025,11.033,11.039,11.041,12.172,11.7,11.622,11.669,11.771,11.672,11.623,11.671,11.752,11.827,11.551,11.65,11.317,11.569,11.687,11.337,18.001,13.279,253500000
DA,0.2,8500,6.961,11.124,-0.221,11.04,11.582,11.345,0.025044581266157,11.069,11,10.899,10.922,11.073,10.971,10.876,10.892,10.908,10.921,10.927,10.916,10.911,10.921,10.926,10.929,11.881,11.389,11.363,11.442,11.572,11.366,11.364,11.446,11.55,11.639,11.284,11.357,11.095,11.302,11.395,11.115,16.751,12.778,178700000
DA,0.2,9000,6.941,10.824,-0.241,10.77,11.277,11.066,0.025648773797554,10.863,10.841,10.774,10.803,10.893,10.815,10.75,10.772,10.791,10.806,10.813,10.805,10.794,10.806,10.811,10.814,11.616,11.091,11.113,11.224,11.381,11.071,11.114,11.228,11.356,11.457,11.026,11.077,10.88,11.044,11.114,10.901,15.723,12.338,116500000
DA,0.2,9500,6.919,10.536,-0.265,10.52,10.991,10.801,0.026284784197224,10.67,10.689,10.655,10.687,10.722,10.666,10.63,10.656,10.675,10.689,10.699,10.695,10.678,10.69,10.695,10.698,11.37,10.81,10.876,11.018,11.202,10.792,10.877,11.023,11.175,11.286,10.782,10.812,10.678,10.8,10.849,10.7,14.777,11.941,67390000
DA,0.2,10000,6.899,10.262,-0.305,10.294,10.735,10.567,0.026912350252724,10.503,10.556,10.548,10.582,10.571,10.535,10.522,10.551,10.567,10.58,10.592,10.592,10.57,10.581,10.585,10.59,11.148,10.559,10.668,10.839,11.046,10.544,10.669,10.845,11.017,11.135,10.565,10.577,10.502,10.583,10.613,10.524,13.688,11.588,34700000
